# Append-only ledger: preserve existing rows; corrections and later evidence belong in new rows.
id,date,hypothesis,mathematical_motivation,exact_predictions,cheapest_decisive_test,evidence_for,evidence_against,status,artifact_paths,next_action
H217,2026-08-13,[THEOREM] Every degree-24 even subgraph with full 5x5x5 bounding box crosses each of its 12 coordinate cuts exactly twice,Each cut has positive even crossing number and the sum of all cut crossings equals the edge count,Prove the exact-two cut condition and recover the ordinary minimal-cube finite-lattice weight on independent smaller cubes,Track frontier parity and ternary cut counters 0 1 2; discard a third crossing and take the full-support square-free logarithm coefficient,The exact 5x5x5 v^24 weight is 8163299968; the same extractor gives 16 9188 and 8655072 for sides 2 3 and 4 matching ordinary FLM,The exact-two reduction is specific to the minimal order 6(side-1) for cubic full-span boxes,confirmed,experiments/e68_ht_v24.py;results/series/ht_v24.json;proofs/ht_v24.md;tests/test_ht_v24.py,Generalize the cut-capped frontier to other minimal-span coefficient extractions
H218,2026-08-13,[THEOREM] Five deterministic 31-bit prime moduli uniquely reconstruct the exact 5x5x5 v^24 finite-lattice weight,A centered CRT residue is exact once the modulus product exceeds twice a proved absolute coefficient bound,Verify primality and coprimality and prove M greater than 2B for the same square-free logarithm coefficient,Bound each active-cut coefficient by C(25 2)^12 and sum the absolute logarithm expansion over ordered set partitions,B=1724666954455386000000000000000000000000 and M=45671921168693645933699105804560590380377589537 exceeds 2B; centered reconstruction gives 8163299968,The bound certifies this finite coefficient only and is deliberately loose,confirmed,experiments/e68_ht_v24.py;results/series/ht_v24.json;proofs/ht_v24.md;tests/test_ht_v24.py,Retain the explicit bound whenever changing the modulus set or state representation
H219,2026-08-13,[COMPUTATION] Cut-capped frontier extraction breaks the v^24 memory wall with bounded local memory and no disk checkpoints,Minimal-order cut constraints replace the 2^25 by 301 dense array with a sparse exact parity frontier,Complete the 5x5x5 extraction below physical memory and independently reproduce a lower-order result,Measure the isolated exact five-prime run and compare side-3 output against the old spin-transfer FLM,The frontier peaks at 1727071 states and 352305152 bytes maximum RSS with zero disk blocks; side 3 independently gives weight 9188 and the full coefficient pipeline passes,RSS is a measurement on the stated workstation rather than an algorithm-independent bound; the full other-box pipeline peaked at 7305396224 bytes,confirmed,experiments/e68_ht_v24.py;results/series/ht_v24.json;proofs/ht_v24.md;tests/test_ht_v24.py,Profile a direct v^26 cut-cap generalization before attempting the next coefficient
H220,2026-08-13,[FALSIFIED] The proposed degree-four spectral relation F is necessary for positive six-mode Gaussian subset-product spectra,A basis-free polynomial identity would avoid eigenvalue ordering and forced-value crossings in the open 2x3 layer,"Every valid positive six-mode Gaussian control must make F vanish; for r_1=...=r_6=1 the attempted variables are (64,1,64,1)",Substitute the all-unit six-mode control into the explicit candidate over ZZ,The candidate arose from an exact but only three-generator elimination attempt,"Exact substitution gives F(64,1,64,1)=64(64-8)(64-1)(64+1)=14676480 != 0",falsified,experiments/e69_spectral_polynomial.py;results/spectral/polynomial_identity.json;proofs/spectral_polynomial.md;tests/test_spectral_polynomial.py,Never use this candidate as a 2x3 obstruction; retain the counterexample as a regression gate
H221,2026-08-13,[FALSIFIED] The proposed single-mode norm factors correctly encode squared normalized traces,Correct Chebyshev factors are required before any generator elimination can be a necessary Gaussian identity,For z=r+r^-1+2 the squared centered factor at k=2 must equal g2(z)=(z-2)^2,Expand (r+r^-1)^2 after substituting z=r+r^-1+2 and compare over ZZ,The unsquared factor z-2 resembles the usual centered Chebyshev expression,The exact discrepancy (z-2)^2-(z-2)=z^2-5z+6 is nonzero,falsified,experiments/e69_spectral_polynomial.py;results/spectral/polynomial_identity.json;proofs/spectral_polynomial.md;tests/test_spectral_polynomial.py,Build future norm equations from g_k=r^k+r^-k+2 using the exact recurrence
H222,2026-08-13,[COMPUTATION] The all-unit positive six-mode Gaussian control falsifies both attempted normalizations,A decisive control should reject an invalid identity before expensive 2x3 trace interpolation or Sturm work,For r_i=1 all centered traces S_k equal 64 and all genuine squared norm invariants Q_k equal 4096,"Evaluate the stored candidate exactly at both (64,1,64,1) and (4096,4096,4096,4096)",Exact residuals are respectively 14676480 and -280788234870780,This control says nothing about whether the actual 2x3 layer is Gaussian,confirmed,experiments/e69_spectral_polynomial.py;results/spectral/polynomial_identity.json;tests/test_spectral_polynomial.py,Run this control before accepting any future six-mode spectral identity
H223,2026-08-13,[UNRESOLVED] Correct six-generator elimination may yield a polynomial obstruction for the rational open 2x3 layer,The sound normalized traces S_k=Tr(V^k)/det(V)^(k/64) are basis-free and insensitive to crossings,"Use a degree-six polynomial E(z)=prod_i(z-z_i), the correct Chebyshev norms g_k, and at least seven equations to eliminate all six elementary generators",Derive the seven exact norm equations and complete elimination with a check on arbitrary positive six-mode controls,The parameter count supplies one expected algebraic relation and the normalized-trace product formula is exact,The required six-generator elimination was not completed; the three-generator shortcut and its claimed obstruction are invalid,unresolved,experiments/e69_spectral_polynomial.py;results/spectral/polynomial_identity.json;proofs/spectral_polynomial.md,Attempt a genuine six-variable quotient-ring norm or resultant computation and validate it on symbolic six-mode controls before applying layer traces
H224,2026-08-13,[COMPUTATION] The standalone spectral-polynomial regression independently catches the invalid generalization,Small exact controls prevent a false low-mode identity from becoming a continuum theorem,"A correct one-mode relation Q2-(Q1-2)^2 vanishes at r=4,9,25 while the proposed six-mode candidate fails the all-unit control",Independently derive the one-mode resultant and reevaluate both stored six-mode residuals without importing the experiment,All independent exact checks pass and the artifact contains no obstruction or Sturm headline fields,The regression validates falsification only and supplies no 2x3 no-go,confirmed,tests/test_spectral_polynomial.py;results/spectral/polynomial_identity.json,Keep this standalone test as a mandatory gate for any repaired six-mode elimination
H255,2026-08-13,[THEOREM] The finite open 2x4 Ising Lie algebra has exact Q dimension 2952 and derived dimension 2951,Complete characteristic-zero structure needs matching bounds in one faithful representation,2952 full words and 2951 derived words have nonzero good-prime minors with matching exact-Q upper containers,Replay canonical raw Pauli trees and exact-Q linked sector bounds,Clean-room ranks are 2952 and 2951 at p=2147483647 with upper bounds 2952 and 2951,None,confirmed,experiments/e76_char0_complete_2x4.py;results/algebra_structure/char0_complete_2x4.json;tests/test_char0_complete_2x4_independent.py;proofs/char0_complete_2x4.md,Retain the clean-room tree and container gate
H256,2026-08-13,[THEOREM] Exact-Q sector images have absolute D21 on 000 and B13 on 010/100/110 with certified rational orthogonal forms and no splitness claim,Invariant forms plus exact image dimensions identify orthogonal Q-forms without a split-form overclaim,Kernel dimensions 2/1/1/1 and active dimensions 42/27/27/27 with image ranks 861/351/351/351,Rebuild Gram splittings and invariant forms then replay raw-word minors at p=65521,All forms and splittings rebuild exactly and all selected determinants are nonzero,Split Q-isomorphism is intentionally not claimed,confirmed,experiments/e76_char0_complete_2x4.py;results/algebra_structure/char0_complete_2x4.json;tests/test_char0_complete_2x4_independent.py;proofs/char0_complete_2x4.md,Describe these factors as rational forms of absolute type
H257,2026-08-13,[THEOREM] The Levi absolute type is D21+2B13+A23+A27+2A3 with dimension 2951 and rank 103,Projectors and intertwiners determine repeated factors while joint word minors exclude extra diagonal linkages,Sector ranks 861/606/351/799/351/799/351/606 and joint ranks 702/351/606/799/1389,Reconstruct projectors and intertwiners then eliminate all eight image and five linkage minors,Clean-room exact-Q reconstruction and all thirteen selected-minor eliminations pass,None,confirmed,experiments/e76_char0_complete_2x4.py;results/algebra_structure/char0_complete_2x4.json;tests/test_char0_complete_2x4_independent.py;proofs/char0_complete_2x4.md,Use the complete factor list in integration
H258,2026-08-13,[THEOREM] The radical equals the one-dimensional centre and the exact Q Killing rank is 2951 with nullity one,A faithful semisimple factor map with central kernel makes the algebra reductive and determines Killing rank structurally,Global z commutes with A/B and B-z lies in the 2951-dimensional derived image so the factor-map kernel is Qz,Reconstruct z from trace projectors and verify derived membership by exact containment and equal dimension,Clean-room verifies z=(1/8)z_integer and B-z belongs to g prime equals S,[UNRESOLVED] No direct adjoint-trace matrix or original-word-basis Killing minor,confirmed,experiments/e76_char0_complete_2x4.py;results/algebra_structure/char0_complete_2x4.json;tests/test_char0_complete_2x4_independent.py;proofs/char0_complete_2x4.md,Keep structural and direct-adjoint Killing claims distinct
H259,2026-08-13,[COMPUTATION] A clean-room verifier certifies every recipe/pivot/sector/linkage/central-kernel step without experiment imports,Producer-coupled checks can share implementation errors so publication needs an independent verifier,Mutation of any stored recipe/pivot/linkage/container field/global central witness causes failure,Run the independent standalone verifier,It reconstructs from raw formulas and stable Pauli support APIs and ended PASS in 364.427 seconds,Direct dense adjoints remain a resource wall,confirmed,tests/test_char0_complete_2x4_independent.py;results/algebra_structure/char0_complete_2x4.json;proofs/char0_complete_2x4.md,Retain as publication regression gate
H205,2026-08-13,[COMPUTATION] Twenty exact open-box Simon-Lieb certificates fix the completed cross-section<=16 family frontier,Larger exact finite sets might push the certified lower bound past the c_36 incumbent,Each shape has a modest-denominator safe point with exact integer sign tQ-P<0 and a directed-rounded endpoint,Evaluate the exact rational criterion at fixed benchmark-free size-ordered shapes through 4x4x24,Best completed endpoint is atanh(2023/10000)>=0.2051295405318898002935737421801965685413,The family is finite and says nothing about wider cross-sections or refined criteria,confirmed_finite,experiments/e66_simon_lieb_next.py;results/bounds/simon_lieb_next.json;proofs/simon_lieb_next.md;tests/test_simon_lieb_next.py,Only a wider exact transfer or a refined criterion can continue this route
H206,2026-08-13,[COMPUTATION] The challenge point t=23/110 beyond the incumbent is exactly rejected by every tested shape,A single certified shape at that point would strictly improve the interval lower endpoint,phi_S(23/110)>=1 as an exact integer sign on all twenty shapes,Evaluate the exact integer tQ-P at 23/110 on every shape and fingerprint the integers,All twenty challenge residuals are nonnegative; four were independently recomputed by the standalone test,Rejection at one rational point does not preclude other points below atanh-inverse of the frontier,confirmed,experiments/e66_simon_lieb_next.py;results/bounds/simon_lieb_next.json;proofs/simon_lieb_next.md;tests/test_simon_lieb_next.py,Treat 23/110 as the canonical challenge for any future Simon-Lieb refinement
H207,2026-08-13,[UNRESOLVED] The scalar Simon-Lieb route with cross-section<=16 boxes improves the certified K_c lower bound,The route is exact and already audited so only its finite reach was in question,An improvement requires some finite set certifying a point above 0.2122119011661678393310862783954278184914,Complete the exact family and compare directed-rounded endpoints against the incumbent,The completed family tops out at 0.2051295405318898 and the incumbent stands unchanged,Failure of this family is not a global no-go for diamonds cylinders or vector criteria,falsified,experiments/e66_simon_lieb_next.py;results/bounds/simon_lieb_next.json;proofs/simon_lieb_next.md;tests/test_simon_lieb_next.py,Route future lower-bound effort to wider transfers or genuinely refined finite-set criteria
H208,2026-08-13,[COMPUTATION] Complete spin enumeration and parity transfer agree on the 2x2x2 criterion polynomials,Two independent exact routes must agree before any larger-shape sign is trusted,The enumerated integer P and Q coefficient vectors reproduce the transfer values at t=1/5,Enumerate all spin configurations then evaluate the scaled polynomials and compare with the transfer stream,Exact agreement on both polynomials and on the 2x3x2 residual-stream control at t=2/9,This is a control identity not a new bound,confirmed,experiments/e66_simon_lieb_next.py;results/bounds/simon_lieb_next.json;tests/test_simon_lieb_next.py,Keep both routes as the standing control pair for criterion evaluations
H209,2026-08-13,[COMPUTATION] The producing agent died on provider quota and the front was completed by the lead session,An abandoned near-complete front must be finished and verified rather than dropped or overstated,The artifact reruns cleanly; a standalone library-only verifier recomputes signs fingerprints and decimals,Rerun the experiment then write and run an independent verifier from the stored artifact,Experiment PASS in 161 s; standalone test PASS with four recomputed sign certificates,An earlier in-flight run appeared to improve the bound but exited nonzero and was superseded,confirmed,experiments/e66_simon_lieb_next.py;results/bounds/simon_lieb_next.json;proofs/simon_lieb_next.md;tests/test_simon_lieb_next.py,Record agent-death salvage explicitly so provenance stays honest
H280,2026-08-15,[COMPUTATION] Independent open-slab even-subgraph FLM determines c6_w residual through v^12,"Removes the prior single-route caveat at v^8,v^10,v^12 without generated cumulants",[w^6]log P=2v^2+138v^4+13682/3 v^6+109718v^8+2061698v^10+32654478v^12+O(v^14),Independently invert all open boxes with in-plane span <=6 and heights <=4,Exact coefficientwise agreement with results/interlayer/c6_series.json at v^0..v^12; clean-room verifier passes,None in the certified prefix,confirmed,experiments/e84_interlayer_closed.py;results/interlayer/closed_form.json;tests/test_interlayer_closed.py,Retain the independent route as the c6 v^12 regression certificate
H281,2026-08-15,[LEMMA] c6_w FLM support is finite through v^12,Even cut parity bounds vertical extent and coordinate-cut parity bounds planar span,All omitted [v^<=12 w^6] box weights vanish exactly when height>4 or (a-1)+(b-1)>6,Prove each used vertical gap has at least two edges and each crossed planar cut at least two in-plane edges,Formal cut-parity proof plus exact 112-box inversion and height split,No claim beyond w^6 or v^12,confirmed,proofs/interlayer_closed.md;results/interlayer/closed_form.json,Use the bound pattern when extending higher w orders
H282,2026-08-15,[THEOREM] c4_q has a closed expression in 2D G and connected U4,The two allowed fourth-order layer-gap cumulants can be algebraically combined after decomposing M4 into its three pair channels and U4,c4_q=1/24 sum U4^2+1/2 sum G_0r G_st U4+3/4 sum G_0r G_st G_0s G_rt,Verify the finite-volume identity from the complete fourth cumulant partition formula,Exact algebra on every finite FLM rectangle; independent clean-room reconstruction passes,Infinite-volume sums are only coefficientwise formal without a convergence proof,confirmed,proofs/interlayer_closed.md;experiments/e84_interlayer_closed.py;results/interlayer/closed_form.json,Seek analytic simplifications of the U4 contractions only if independently motivated
H283,2026-08-15,[COMPUTATION] The c4 G/U4 form reproduces the certified v^12 series,"Exact 2D boundary transfer supplies all finite G,M4,U4 data and planar FLM extracts bulk coefficients","c4_q=(-1/12,0,2/3,0,51,0,2914/3,0,41113/3,0,481894/3,0,1679961); c4_w total=(1/4,0,2,0,63,0,1050,0,14223,0,163950,0,1700893)",Compare all coefficient vectors with the stored c4 primary artifact,All 13 coefficients and each of three closed-form contraction series agree exactly; standalone test passes,None in the certified prefix,confirmed,results/interlayer/closed_form.json;tests/test_interlayer_closed.py,Keep the U4/G term split as a regression certificate
H284,2026-08-15,[UNRESOLVED] Formal interlayer identities do not establish convergence or critical behavior,Finite high-temperature coefficients and finite-support FLM do not control the infinite series at nonzero coupling,"No radius of convergence, critical-coupling evaluation, or 3D solution follows",Would require independent analytic convergence bounds or a nonperturbative representation,No such bound is supplied by the exact c4/c6 certificates,The present results are finite-order formal identities only,unresolved,proofs/interlayer_closed.md;results/interlayer/closed_form.json,Do not infer values at K_c; pursue only separately certified convergence work
H260,2026-08-15,[THEOREM] The stated branch-11111 42-constraint catalogue has no rational Nullstellensatz certificate with multiplier degree at most two,A constant ideal certificate would decide finite-catalogue emptiness; exact degree-two Macaulay elimination tests the next untried bound,Q column rank 7365 among 7371 columns; six exact syzygies; constant target outside the span,"Rebuild the 42 exact equations, 21-basis degree-two columns, and Fraction-reduce target 1","Fraction elimination gives rank 7365, six stored syzygies, and residual 1",This is limited to multiplier degree<=2 and the finite catalogue,confirmed,experiments/e80_kw_branch11111.py;results/kac_ward/branch11111.json;tests/test_kw_branch11111.py;proofs/kw_branch11111.md,Try a higher-degree exact certificate only with a bounded sparse strategy
H261,2026-08-15,[COMPUTATION] The thin primary radical admits explicit 16-dimensional Laurent torus coordinates and leaves six independent 3D numerator constraints,The prime thin radical can remove nine coordinates before attacking genuinely three-dimensional equations,All 27 primary thin rows vanish after substitution; 15 3D rows reduce to 10 nonzero cleared numerators of Q-rank 6,Substitute the nine exact radical binomials and rebuild every finite-box equation over QQ,The substitutions and every stored support hash are independently rederived,No univariate or zero-dimensional elimination consequence was obtained,confirmed,experiments/e80_kw_branch11111.py;results/kac_ward/branch11111.json;tests/test_kw_branch11111.py;proofs/kw_branch11111.md,Seek a justified extra relation or a bounded elimination on the six torus numerators
H262,2026-08-15,[COMPUTATION] A reversal-conjugate Q(i) mu_4 branch-11111 candidate satisfying the thin holonomies passes the construction equations,Conditional reversal conjugation plus fourth-root phases gives a finite exact complex chart where candidates can be exhausted,Among 4^11 raw phase assignments and all 65536 thin-radical solutions at least one passes all 42 construction equations,Enumerate the exact Z/4Z congruence chart and evaluate Gaussian-integer residuals,All 65536 radical solutions were evaluated exactly,Zero construction-passing candidates; this does not cover general reversal-conjugate complex weights,falsified,experiments/e80_kw_branch11111.py;results/kac_ward/branch11111.json;tests/test_kw_branch11111.py;proofs/kw_branch11111.md,Broaden only to another explicitly bounded algebraic phase chart or derive a general relation
H263,2026-08-15,[UNRESOLVED] Branch 11111 is empty over Q or C,The last generic gauge-tree branch would be closed by a characteristic-zero Nullstellensatz certificate or an exact surviving point,A full ideal certificate or a candidate passing construction and 3x3x3 holdout,Extend an exact certificate search or construct and holdout-test an algebraic point,Degree<=2 is absent; torus reduction and finite Q(i) slice are exhausted,No all-degree certificate and no general Q/C point classification,unresolved,experiments/e80_kw_branch11111.py;results/kac_ward/branch11111.json;tests/test_kw_branch11111.py;proofs/kw_branch11111.md,Retain unresolved status unless a full certificate or holdout-passing exact candidate is obtained
H264,2026-08-15,"[LEMMA] On the thin torus, reversal conjugation forces Re(H_xy)=Re(H_xz)=Re(H_yz)=-1",The six oriented thin plaquette relations are H=-1 and reversal pairs them by conjugation,The oriented holonomy sum is -6 and each of the three representative real parts is -1,Rebuild the nine radical binomials and pair orientations under reversal,Exact Laurent substitution and the finite Q(i) scan verify all six oriented products are -1,This is conditional on reversal conjugation and does not impose it on the full 30-weight ansatz,confirmed,experiments/e80_kw_branch11111.py;results/kac_ward/branch11111.json;tests/test_kw_branch11111.py;proofs/kw_branch11111.md,Use only as a scoped constraint on explicitly reversal-conjugate charts
H275,2026-08-15,[THEOREM] The fixed-order one-line-cabled 16x16 Ising RLLL system has rank 256 over Q(q),A nonzero polynomial full minor excludes a generic cabled auxiliary R even before its root locus is factored,rank_Q(q)=256 and generic nullity=0,Rebuild the stored p=101 and p=103 sector row minors at q=2 and verify rank 128 in both parity sectors,Both primes give rank 128 plus 128 and the off-sector blocks vanish exactly,"The determinant polynomials are not factored, so specialization exceptions remain unidentified",proved_generic,experiments/e83_tetra16.py;tests/test_tetra16.py;results/integrability/tetra16.json;proofs/tetra16.md,Factor complementary symbolic minors or derive a Bezout identity
H276,2026-08-15,[COMPUTATION] The cabled 16x16 system has exact rank 256 at q=1/4,The physical rational control tests the cabled ansatz without a numerical approximation,Both 128x128 sector minors are nonzero and the full nullity is zero,Reconstruct both scaled integer minors and factor their determinants,Preserving determinant factors are 2^1346 3^290 5^274 17^2 1801; reversing factors are 2^1332 3^290 5^272 11 17^2 463 4373,One rational point cannot identify the full exceptional locus,confirmed_finite,experiments/e83_tetra16.py;tests/test_tetra16.py;results/integrability/tetra16.json,Use symbolic or complementary-minor work to localize exceptions
H277,2026-08-15,[COMPUTATION] The cabled 16x16 system has exact rank 256 at q=1/3,A second exact ferromagnetic rational control guards against a q=1/4-specific pivot artifact,Both 128x128 sector minors are nonzero and the full nullity is zero,Reconstruct both scaled integer minors and factor their determinants,Preserving factors are 2^854 3^668 5^2 37; reversing factors are 2^859 3^665 5^2,One rational point family is not an all-parameter certificate,confirmed_finite,experiments/e83_tetra16.py;tests/test_tetra16.py;results/integrability/tetra16.json,Use symbolic or complementary-minor work to localize exceptions
H278,2026-08-15,[COMPUTATION] The cabled 16x16 system has exact rank 256 at q=2/5,A third exact ferromagnetic rational control independently tests the fixed cabled row-minor certificate,Both 128x128 sector minors are nonzero and the full nullity is zero,Reconstruct both scaled integer minors and factor their determinants,Preserving factors are 2^306 3^290 5^668 7^274 13 29^2 367; reversing factors are 2^292 3^290 5^664 7^272 29^2 31 53 18911 20611,Finite rational checks do not factor the all-q determinant roots,confirmed_finite,experiments/e83_tetra16.py;tests/test_tetra16.py;results/integrability/tetra16.json,Seek a factored Z[q] determinant or a second complementary minor
H279,2026-08-15,[UNRESOLVED] The all-specialization exceptional set for the cabled 16x16 RLLL system is not yet factored,A generic Q(q) rank theorem needs explicit determinant factors or a Bezout identity to classify individual algebraic specializations,Two symbolic 128x128 sector determinants should be computed and factored or complemented by minors with coprime residual factors,Run fraction-free Z[q] determinants on the stored sparse-derived sector minors under a recorded hard wall,Generic rank is proved and three rational full-rank certificates pass,Both 128x128 symbolic determinants timed out at 120.005033 and 120.005257 seconds; total 240.158974 seconds and peak RSS 157990912 bytes,unresolved,experiments/e83_tetra16.py;results/integrability/tetra16.json;proofs/tetra16.md,Exploit rank-16 product factorizations or find lower-complexity complementary minors with an exact Bezout certificate
H265,2026-08-15,[LEMMA] Every positive six-mode Gaussian subset-product spectrum satisfies the multiplicity-safe forced relation f=lambda_1 lambda_2/lambda_0 in its spectrum.,"The lowest three ordered eigenvalues may have repeated one-mode factors, so the forced relation must not rely on distinctness.","For sorted eigenvalues counted with multiplicity, f is a subset product even when the smallest factors coincide.",Prove the subset-product ordering case split and check an exact degenerate two-mode spectrum.,"The exact control {1,A,B,AB} with A=1+t^2 and B=A^3 has f=AB exactly; the proof note gives the general multiplicity-safe argument.",It makes no assertion for spectra outside the positive six-mode Gaussian subset-product class.,confirmed,experiments/e81_spectral_interval2.py;results/spectral/interval2.json;proofs/spectral_interval2.md;tests/test_spectral_interval2.py,Use this necessary condition without adding distinctness hypotheses to later spectral obstructions.
H266,2026-08-15,[FALSIFIED] The open-2x3 forced value is absent on every connected interval through the scanned crossing region.,"If absence held throughout such an interval, the exact count of layer eigenvalues below the continuous forced value could not change.",The c-count is constant across any interval with no equality f(t)=mu_j(t).,Rebuild rational forced-value enclosures at the two endpoints of each bracket and compare exact inertia counts.,"Four disjoint width-1/16777216000 brackets have exact c-count jumps 4->5, 5->6, 6->7, and 7->8; continuity yields an attained real algebraic parameter in every bracket.",The certificates do not identify a unique root or rule out additional tangential crossings.,falsified,experiments/e81_spectral_interval2.py;results/spectral/interval2.json;proofs/spectral_interval2.md;tests/test_spectral_interval2.py,Treat the four localizing brackets as genuine obstruction points rather than failures of interval propagation.
H267,2026-08-15,[THEOREM] Forced-value absence holds on three exact closed rational open-2x3 intervals.,"Outside an attained forced value, exact eigenvalue enclosures plus Weyl/inertia propagation can certify the required necessary-condition failure on a continuum interval.","Absence holds on [524287/2097152,524289/2097152], [50331643/167772160,50331653/167772160], and [8388605/25165824,8388611/25165824].","Independently rebuild M(t), exact endpoint low-eigenvalue enclosures, and full-matrix inertia for each interval.","All three intervals pass exact rational Weyl/inertia certificates; the first has width 1/1048576, greater than the prior maximum component width 1/50000000.",These three intervals do not cover the regions between them or any crossing parameter.,confirmed,experiments/e81_spectral_interval2.py;results/spectral/interval2.json;proofs/spectral_interval2.md;tests/test_spectral_interval2.py,Use only the listed intervals as continuum forced-value-absence certificates.
H268,2026-08-15,"[LEMMA] The actual open n=4 Ising-chain transfer family is Gaussian for every t in (0,1), and the forced-value machinery does not falsely reject it.",A genuine free-fermion control is needed to distinguish a sound forced-value absence criterion from a universal artifact.,P_t D_t P_t is a product of exponentials of Majorana bilinears and its forced value is present throughout the control family.,Verify the Jordan-Wigner bilinear identities and exact occupied forced windows at representative rational t.,"The all-t Majorana factorization is recorded; exact window checks at 1/5, 1/3, and 1/2 remain occupied.",A one-dimensional free-fermion control does not imply Gaussianity of the open 2x3 layer.,confirmed,experiments/e81_spectral_interval2.py;results/spectral/interval2.json;proofs/spectral_interval2.md;tests/test_spectral_interval2.py,Retain this control whenever the forced-value interval machinery changes.
H269,2026-08-15,[UNRESOLVED] The four c-jump brackets are the unique and exhaustive open-2x3 forced-value crossings in the target range.,A maximal punctured-interval statement would require both root isolation and exclusion of crossings that do not change c(t).,"Each bracket contains exactly one root with a recorded minimal polynomial, and no additional roots occur in the target range.",Compute sector characteristic/resultant conditions and certify root counts by Sturm sequences over Q[t].,Four transverse c-count changes are rigorously localized.,No resultant/minimal-polynomial certificate or no-tangency/exhaustiveness proof has been constructed.,unresolved,experiments/e81_spectral_interval2.py;results/spectral/interval2.json;proofs/spectral_interval2.md;tests/test_spectral_interval2.py,Derive sectorwise elimination polynomials and Sturm certificates only if uniqueness or exhaustive classification is needed.
H300,2026-08-15,Open 5x4x4 and 5x5x4 Lee--Yang field polynomials are exactly reachable at x=2/3 and 7/10,Extend finite isotropic-coupling data beyond 4-cubes without a 2^25-state cube transfer,"Palindromic exact A_k; Q has 40 or 50 simple roots in (-1,1); first angles have rational certificates",CRT graded transfer plus Sturm isolation and independent z=1 scalar transfer,58 e88 checks pass; 3^3 brute-force and frozen 4^3 coefficient controls pass,"These are anisotropic boxes, not the 5^3 cube",confirmed_finite_boxes,experiments/e88_lee_yang_zeros.py;results/lee_yang/zeros_l5.json;tests/test_lee_yang_zeros.py,Seek a memory-reduced exact 5^3 transfer or a separate cube correction bound
H301,2026-08-15,The new finite-box field zeros are all on the unit circle,A complete real-root count of the circle restriction accounts for every field root,"For N=80 and N=100, Q has respectively 40 and 50 simple roots in (-1,1), yielding all P roots on |z|=1",Rebuild Q from A_k and count/isolate roots over ZZ,Exact Sturm counts and rational cosine enclosures; clean-room verifier reruns headline counts,Finite computation gives no all-size Lee--Yang theorem,confirmed_finite_boxes,results/lee_yang/zeros_l5.json;proofs/lee_yang_zeros.md;tests/test_lee_yang_zeros.py,Reuse the certificate machinery if a 5^3 polynomial becomes available
H302,2026-08-15,A fourth exact slab point may exclude one wave-8 analytic-correction power,Test whether the three-size p=2 versus p=4 ambiguity survives four exact data,At fixed edge 1/50 the DD3 condition must fail or hold exactly; with free edge discriminant boxes decide admissibility,Exact Fraction divided-difference and quadratic-discriminant check on L=2..5 slabs,Fixed-edge class is excluded in all eight slab/power cases; free-edge p=2 and p=4 are both admissible,Slab geometry does not identify isotropic-cube sigma,continued_degeneracy,results/lee_yang/zeros_l5.json;proofs/lee_yang_zeros.md,Apply the same four-point test to an exact isotropic L=5 cube if obtained
H303,2026-08-15,The current exact layer-transfer path cannot responsibly materialize the 5x5x5 field polynomial on the shared host,Quantify the real obstruction rather than substitute non-exact roots,2^25 state rows and 63 retained grades require 15.75 GiB per buffer; x=2/3 needs 21 CRT primes and x=7/10 at least 38,Measured single-prime 5x4 transfer rate extrapolated with exact coefficient bounds,10.94-second measured pass; 3.1597 h and 5.7175 h truncated lower estimates; 32 stored primes insufficient for x=7/10,A different algorithm or less-contended larger-memory host could change the wall,unresolved_resource_wall,results/lee_yang/zeros_l5.json;proofs/lee_yang_zeros.md,Develop a rigorously validated compressed/streamed transfer before attempting 5^3
H304,2026-08-15,The frozen 2D-calibrated isotropic PRG remains non-instantiable after this box extension,Protocol integrity forbids shortening or retuning its required L=4..15 raw cube sequence,No sigma verdict is valid without exact isotropic L=5 and subsequent required sizes,Check exact isotropic-size availability against the frozen protocol,"Only exact cubes L=2,3,4 are available; e88 intentionally leaves protocol false",Exact anisotropic box data do not supply the required isotropic sequence,unresolved,proofs/lee_yang_prg.md;results/lee_yang/zeros_l5.json;proofs/lee_yang_zeros.md,Obtain exact isotropic cubes or an independently proved correction-amplitude restriction
H305,2026-08-15,The open 2x6 Ising-ladder joint commutant has exact dimension 71.,"The prior C2^3 Hom-block certificate left the rigorous interval [57,71].",The exact 8-by-8 Hom table sums to 71.,Two-prime modular Hom RREF plus common-anchor rational reconstruction and exact substitution.,All 36 upper-triangle blocks have matching prime ranks and independent exact rational kernel bases; clean-room rebuild also sums to 71.,None in the finite 2x6 certificate.,confirmed,experiments/e89_commutant_2x6.py;results/integrability/commutant_2x6.json;tests/test_commutant_2x6.py;proofs/commutant_2x6.md,Treat 71 as a finite result only; do not extrapolate in L.
H306,2026-08-15,The prior F_1000000007 2x6 Hom table is characteristic-zero exact rather than merely an upper-bound scout.,Modular ranks alone cannot establish equality over Q.,Every modular nullity lifts to an equally large exact rational kernel in the same Hom block.,CRT-reconstruct anchored rational nullspace vectors and substitute them into all integer equations.,Every reconstructed basis passed exact substitution; the modular lower-rank and exact-kernel upper-rank inequalities meet blockwise.,None; prime agreement was retained only as a cross-check.,confirmed,experiments/e89_commutant_2x6.py;results/integrability/commutant_2x6.json;tests/test_commutant_2x6.py,Reuse this same-basis closure pattern for later finite Hom computations.
