# Append-only ledger: preserve existing rows; corrections and later evidence belong in new rows.
id,date,hypothesis,mathematical_motivation,exact_predictions,cheapest_decisive_test,evidence_for,evidence_against,status,artifact_paths,next_action
H041,2026-08-12,The full translation-invariant scalar Kac--Ward family can satisfy the exact finite-box trace identities through k=8 and pass an independent box prediction,The 25-parameter generic gauge chart is consistent through k=6 and has enough freedom that k=8 construction equations may still admit solutions,"An exact algebraic assignment solves k=4,6,8 on multiple construction boxes and at least one unused free box","Classify the explicit six-polynomial 25-variable system with a stronger modular Groebner or rational Nullstellensatz engine, then verify a holdout box exactly",Complex least squares finds points with construction residual near machine roundoff,The recorded numerical point fails the exact 3x3x3 holdout at k=8; modular Groebner timed out and all 32 tested tree zero-pattern strata remain undecided,unresolved,proofs/kac_ward_full_family.md;experiments/e30_kac_ward_full.py;results/kac_ward/full_family.json;tests/test_kac_ward_full.py,Use the stored explicit polynomials and SHA-256 in a sparse Macaulay/Nullstellensatz or stronger computer-algebra engine; never promote a timeout or sampled Jacobian rank to a no-go
H085,2026-08-12,At t=1/3 the physical P-sector spectra of the 2x3 layer are the even and odd halves of one six-mode Gaussian product spectrum,This is the parity-projected-pair escape route left open by Theorem S,"After orienting factors above one the assigned spectra obey e0<o0<o1 and o0*o1/e0 belongs to the even sector","Split exactly under P and isolate e0 o0 o1 by rational inertia then count target eigenvalues across an outward forced-value window",The exact matrix commutes with physical P and both sectors have dimension 32,"For P+=even the forced window has equal counts 2 and 2; the swapped assignment has the wrong minimum order and its formal window also has equal counts 1 and 1",falsified,proofs/parity_sector_gaussianity.md;experiments/e40_parity_sector.py;results/spectral/parity_sector.json;tests/test_parity_sector.py,Retain Theorem S-prime with its physical-parity and one-coupling scope
H086,2026-08-12,The e38 rational symmetrization admits exact rational physical spin-flip restrictions,Global bit complement preserves Hamming distance and every Ising bond energy,"P is a fixed-point-free signed permutation; PR=RP; unnormalized plus/minus orbit bases give rational 32 by 32 restrictions",Verify all permutation identities and all rational commutator entries then construct one basis vector per complement orbit,"All 4096 equalities R[c(a),c(b)]=R[a,b] pass and both restricted matrices are rational positive definite",None in the finite 2x3 and chain cases,confirmed,proofs/parity_sector_gaussianity.md;experiments/e40_parity_sector.py;results/spectral/parity_sector.json,Reuse the orbit-basis construction for other physical-symmetry sector tests
H087,2026-08-12,Swapping the identification of physical P signs with fermionic even and odd parity rescues the 2x3 Gaussian pair ansatz,The sign of a fermionic parity involution is conventional so both physical assignments must be exhausted,At least one of P+=even or P-=even satisfies the required minimum ordering and forced cross-sector membership,Run exact lowest-sector enclosures and target-sector inertia counts for both assignments,P+=even has the required strict ordering,"P+=even misses the forced value with counts 2 and 2; P-=even has odd minimum below even minimum and its formal forced window has counts 1 and 1",falsified,proofs/parity_sector_gaussianity.md;results/spectral/parity_sector.json;tests/test_parity_sector.py,No physical-sign assignment remains under the stated distinctness hypotheses
H088,2026-08-12,The six-site open-chain Gaussian control is consistent with the parity cross-sector relation at exact t=1/3,A known free-fermionic control should not be rejected by the outward-window certificate,For both physical sign assignments the target-sector inertia count differs across the forced-value window,Run the identical rational sector split and inertia calculation on the open chain,"Counts change 1 to 2 for both assignment windows, proving that each window contains an eigenvalue",A positive-width window does not certify exact equality to the forced value,confirmed,proofs/parity_sector_gaussianity.md;experiments/e40_parity_sector.py;results/spectral/parity_sector.json,Keep explicitly labeled as a consistency check rather than an exact-presence theorem
H089,2026-08-12,The physical-parity certificate excludes Gaussian restrictions graded by every commuting Z2 symmetry of the 2x3 layer,A basis-independent closure of all parity loopholes would require controlling every possible fermion parity involution,Every alternative commuting involution yields sector spectra violating its corresponding Gaussian cross-sector relation,Classify the full commutant and repeat exact sector certificates for every inequivalent involution,None; only P=product X was tested,The present theorem does not constrain a different Z2 grading or a non-parity invariant subspace,unresolved,proofs/parity_sector_gaussianity.md,Classify inequivalent commuting involutions before extending Theorem S-prime

H080,2026-08-12,"The open 2x3 Ising layer transfer operator at t=tanh(K*/2)=1/5 is not fermionic Gaussian on six modes","Theorem S at t=1/3 may reflect a robust finite-layer spectral obstruction rather than an isolated arithmetic point","The three smallest eigenvalues are distinctly enclosed and the forced value lambda1*lambda2/lambda0 lies in an interval with equal endpoint inertia counts","Build the exact rational symmetrized operator and perform Sylvester-inertia bisection plus two outward-window counts","Disjoint exact enclosures have relative-gap lower bounds 0.0388789 and 0.745757; both forced-window counts equal 4","This is one finite operator at one coupling and gives no all-coupling or all-size statement",confirmed,"experiments/e39_spectral_couplings.py;results/spectral/couplings.json;notes/spectral_couplings.md;tests/test_spectral_couplings.py","Seek an analytic coupling interval only if exact parameter-dependent inertia control becomes available"
H081,2026-08-12,"The open 2x3 Ising layer transfer operator at t=tanh(K*/2)=1/2 is not fermionic Gaussian on six modes","Testing a second substantially different rational coupling probes whether the Theorem S obstruction persists away from t=1/3","The three smallest eigenvalues are distinctly enclosed and the forced-value interval contains no eigenvalue","Run exact rational inertia bisection and compare exact counts at both outward-rounded forced-window endpoints","Disjoint exact enclosures have relative-gap lower bounds 0.853766 and 0.168100; both endpoint counts equal 8","A finite exact certificate cannot establish non-Gaussianity on a continuum of couplings",confirmed,"experiments/e39_spectral_couplings.py;results/spectral/couplings.json;notes/spectral_couplings.md;tests/test_spectral_couplings.py","Do not interpolate the finite rational certificates into an unproved coupling-uniform claim"
H082,2026-08-12,"The open 2x3 Ising layer transfer operator at t=tanh(K*/2)=2/5 is not fermionic Gaussian on six modes","An intermediate optional rational point supplies a third independent exact coupling certificate","Distinct lowest-three enclosures force a predicted eigenvalue window whose two inertia counts agree","Apply the same exact matrix construction rational bisection and outward-window inertia test","Disjoint exact enclosures have relative-gap lower bounds 0.708556 and 0.289736; both endpoint counts equal 8","Only the named 64-dimensional operator is decided",confirmed,"experiments/e39_spectral_couplings.py;results/spectral/couplings.json;notes/spectral_couplings.md;tests/test_spectral_couplings.py","Retain as finite-instance evidence rather than an all-t theorem"
H083,2026-08-12,"The open 2x4 Ising layer transfer operator at t=tanh(K*/2)=1/3 is not fermionic Gaussian on eight modes","Extending Theorem S to the next layer width tests whether the spectral obstruction survives beyond the minimal genuine layer","The exact 256-dimensional operator has three distinct lowest eigenvalues and equal inertia counts across the forced-value window","Clear denominators once decompose by exact commuting involutions and run fraction-free Sylvester-inertia bisection under explicit resource walls","Eight exact symmetry sectors span all 256 dimensions; the gap lower bounds are 0.491652 and 0.344832 and both forced-window counts equal 8","This proves only one finite 2x4 operator; embeddings larger Gaussian systems parity-projected variants and all sizes remain open",confirmed,"experiments/e39_spectral_couplings.py;results/spectral/couplings.json;notes/spectral_couplings.md;tests/test_spectral_couplings.py","Use the certified symmetry-sector method for larger finite layers only when a new scoped question warrants the cost"
H084,2026-08-12,"The open n=8 chain at t=tanh(K*/2)=1/3 gives an occupied-window consistency control for the spectral certificate","A known free-fermionic geometry should not be rejected by the one-sided absence test","The exact inertia counts at the forced-window endpoints differ after the lowest three eigenvalues are distinctly enclosed","Run the identical rational construction and exact inertia test on the 256-dimensional open chain","The exact counts are 9 and 10 so some eigenvalue lies in the positive-width window","Differing counts do not prove that the exact forced value is present and are not an equality or Gaussianity certificate",confirmed,"experiments/e39_spectral_couplings.py;results/spectral/couplings.json;notes/spectral_couplings.md;tests/test_spectral_couplings.py","Keep explicitly labeled as consistency only; exact presence would require an algebraic equality certificate"
H105,2026-08-12,A low-budget algebraic equation explains the 12-coefficient HT reduced free-energy series,An algebraic exact solution would force a polynomial relation among sufficiently many exact coefficients,"At least one bidegree with (dx+1)(df+1)<=10 has a nonzero kernel after all known coefficients","Build every exact rational coefficient matrix using U+2 training equations and all later coefficients as holdout",None,All 27 frontier matrices have full column rank with stored nonzero rational minors,falsified,experiments/e43_series_structure.py;results/series/structure_certificates.json;notes/series_structure.md,Do not infer transcendence; retest larger budgets only after deriving more coefficients
H106,2026-08-12,The LT reduced free-energy prefix has an observable low-budget algebraic relation,A low-temperature exact structure could appear at smaller bidegree than on the HT side,A surviving kernel involves at least one monomial column visible through u^16,"Sweep all 45 bidegrees with U<=15 and separate strict-holdout survivors from zero-column truncation artifacts",Ten raw kernels survive,All ten full kernels are exactly spans of monomials such as f^6 whose first possible term lies beyond u^16; seven other prefix kernels fail holdout,falsified,experiments/e43_series_structure.py;results/series/structure_certificates.json;notes/series_structure.md,Audit again only when coefficients at or beyond the recorded monomial valuations are available
H107,2026-08-12,A low-budget first-order differential-algebraic equation explains the HT prefix,Nonlinear dependence on f and f-prime is the simplest extension beyond the earlier linear D-finite probe,At least one rectangular Q(t f f-prime) budget with U<=9 has a nonzero full kernel,Sweep every exact derivative-safe coefficient matrix with at least two excess equations,None,All 21 tested first-order HT budgets have full column rank and explicit nonzero minors,falsified,experiments/e43_series_structure.py;results/series/structure_certificates.json;notes/series_structure.md,This does not test higher derivatives or larger polynomial budgets
H108,2026-08-12,The LT prefix has an observable low-budget first-order differential-algebraic relation,The leading valuations f=O(u^3) and f-prime=O(u^2) permit a finite exact nonlinear search,A surviving kernel contains a monomial combination visible by derivative-safe order u^15,"Sweep all 45 rectangular first-derivative budgets and inspect the exact support of every full kernel",Eight raw kernels survive,Every survivor is exactly a zero-column truncation artifact such as (f-prime)^8=O(u^16) or f^5 f-prime=O(u^17); eight prefix candidates fail holdout,falsified,experiments/e43_series_structure.py;results/series/structure_certificates.json;notes/series_structure.md,Require new LT coefficients before interpreting any survivor
H109,2026-08-12,The interlayer c2 identity extends through v^8 and the thermodynamic c3 coefficient vanishes,The squared-correlation formula admits an independent 2D finite-lattice expansion while layer staggering forces odd powers of w to vanish,"sum_r G(r)^2 has v^8 coefficient 1556 so residual and total c2 have v^8 coefficient 778; c3(v)=0","Compare exact 2D boundary-parity FLM with anisotropic 3D FLM and inspect every w^3 box column",Both independent exact c2 arrays agree through v^8 and all 15 required anisotropic boxes have zero w and w^3 columns,None,confirmed,experiments/e43_series_structure.py;results/series/structure_certificates.json;notes/series_structure.md;tests/test_series_structure.py,Computing c4 would require connected four-spin data beyond the squared two-point machinery
H100,2026-08-12,"The selected six-pivot Hensel section through the stored F_5 witness contains a rational construction point of coordinate height at most 803887338846092830409411774445","A full-row-rank modular point has a unique p-adic graph over the 19 held coordinates and a simple exact identity might appear by rational reconstruction","All 25 residues modulo 5^86 reconstruct within the symmetric uniqueness bound and their exact substitutions annihilate all six equations","Lift by doubling Newton precision and run complete extended-Euclidean reconstruction coordinatewise","The Jacobian has full row rank six and 23 coordinates reconstruct; one moving coordinate reconstructs as -11","u_mx_mx and u_mx_py do not reconstruct, which certifies absence of a bounded rational vector in this selected residue class",falsified,"experiments/e42_kw_hensel.py;results/kac_ward/hensel_lift.json;notes/kw_hensel.md;tests/test_kw_hensel.py","Do not generalize across the positive-dimensional variety; test other sections only with a systematic selection rule"
H101,2026-08-12,"The selected six-pivot Hensel section through the stored F_11 witness contains a rational construction point of coordinate height at most 1121690061089227884474199393243","A second full-row-rank prime tests whether rational structure survives independently of the F_5 residue class","All 25 residues modulo 11^58 reconstruct within the symmetric uniqueness bound and solve the six equations exactly","Lift by doubling Newton precision and reconstruct every coordinate with 2H^2<M","The Jacobian has full row rank six and 22 coordinates reconstruct","u_px_px u_mx_mx and u_mx_my fail reconstruction, certifying no bounded rational vector in this selected residue class",falsified,"experiments/e42_kw_hensel.py;results/kac_ward/hensel_lift.json;notes/kw_hensel.md;tests/test_kw_hensel.py","Seek a common algebraic parametrization rather than treating one local section as the whole variety"
H102,2026-08-12,"The stored rank-deficient F_7 construction point lifts to a solution modulo 49","Even a singular finite-field point can lift when the first-order residual lies in the Jacobian image","The linear system Jt=-F(x)/7 modulo 7 is consistent","Compute the exact augmented row reduction and a left-kernel obstruction if inconsistent","The point solves all six equations modulo 7","lambda=(4,0,0,1,0,0) annihilates J but pairs with the right-hand side to 5 modulo 7",falsified,"experiments/e42_kw_hensel.py;results/kac_ward/hensel_lift.json;notes/kw_hensel.md;tests/test_kw_hensel.py","Other F_7 points remain possible; do not infer pattern emptiness"
H103,2026-08-12,"The selected F_5 and F_11 lifts share a nontrivial consistently reconstructed moving coordinate","A common characteristic-zero point should leave compatible rational-coordinate traces across good primes","At least one of the six Newton coordinates reconstructs to the same rational at both primes","Compare exact Fraction reconstructions coordinate by coordinate without numerical matching","u_pz_mx and u_pz_my both reconstruct as 2","Both agreeing coordinates are deliberately held; every moving coordinate is inconsistent or unavailable",falsified,"experiments/e42_kw_hensel.py;results/kac_ward/hensel_lift.json;notes/kw_hensel.md","Cross-prime comparison needs compatible residue classes or a global parametrization"
H104,2026-08-12,"The gauge-tree zero pattern 00000 is empty over characteristic zero","The smallest active-variable stratum may admit a short elimination certificate even when the generic 25-variable chart remains unresolved","An exact integer combination of its six construction equations is a nonzero constant","Run block-order Groebner bases modulo two primes then rederive any unit relation over ZZ","Both modular bases are [1], and exactly 2F_(3x3x2,4)-3F_(2x2x3,4)=56","The theorem excludes only one selected tree stratum and says nothing about the other patterns",confirmed,"experiments/e42_kw_hensel.py;results/kac_ward/hensel_lift.json;notes/kw_hensel.md;tests/test_kw_hensel.py","Search other smallest strata for similarly short exact certificates without inferring a full-family no-go"
H110,2026-08-12,"The verified six-leg Ising tensor remains exactly Z2-grade-preserving in the three-input three-output L-operator reshaping","Spin summation gives support only when the total number of occupied tensor legs is even","All 32 nonzero L entries preserve input/output total parity and the three stored finite-box partition integers are reproduced","Reuse the Wave-5 tensor builder and scan all 64 reshaped entries exactly","The coefficientwise box controls give 36450 16394562 and 246853161090; all 32 supported local entries preserve grade","The two parity blocks each have rank one at q=1/4, so grade preservation alone does not imply an invertible physical L",confirmed,"experiments/e44_tetra_graded.py;results/integrability/tetra_graded.json;notes/tetra_graded.md;tests/test_tetra_graded.py","Retain these controls as prerequisites for any later auxiliary-R construction"
H111,2026-08-12,"A nonzero Z2-grade-preserving 8x8 auxiliary R solves R_123 L_145 L_246 L_356=L_356 L_246 L_145 R_123 at the exact physical point q=1/4","Allowing all 32 grade-compatible entries includes interacting matrices excluded by the earlier direct-sum and gauge tests","After fixing one nonzero coordinate the exact QQ polynomial system has a solution","Generate all 4096 components and compute a QQ Groebner basis after exact row reduction","The zero matrix solves the unsaturated homogeneous relation","The 2048 nonzero component forms have exact rank 32; the raw chart r_000_000=1 has Groebner basis [1]",falsified,"experiments/e44_tetra_graded.py;results/integrability/tetra_graded.json;notes/tetra_graded.md;tests/test_tetra_graded.py","Do not search transfer-matrix commutativity in this empty normalized graded chart"
H112,2026-08-12,"The fixed-point graded auxiliary-R no-go extends uniformly to every finite ferromagnetic Ising weight","A symbolic full-rank component minor can turn a one-point computation into an all-parameter theorem","A 32x32 RLLL minor has no zero for 0<q=tanh(K)<1","Lift the fixed pivot components to QQ[q] and factor their determinant exactly","The determinant is -2*q^56*(q-1)^45*(q+1)^39 and its scaled q=1/4 specialization exactly matches the integer rank certificate","The exceptional algebraic points q=0,+1,-1 are not classified",confirmed,"experiments/e44_tetra_graded.py;results/integrability/tetra_graded.json;notes/tetra_graded.md;tests/test_tetra_graded.py","Test parity-breaking R or nonidentical spectral L factors without extending this theorem beyond its grading"
H113,2026-08-12,"An invertible graded R or a nonzero solution outside the primary r_000_000 normalization chart survives the RLLL equations","A single normalization coordinate can miss projective components whose chosen coordinate vanishes","At least one of the 32 coordinate charts or the determinant localization has a non-unit saturated ideal","Compute every chart r_j=1 and the Rabinowitsch saturation z*det(R)-1 after exact linear ideal reduction","All 32 charts and the determinant saturation were computed over QQ","Every one of the 32 chart bases is [1] and the invertibility saturation basis is [1]",falsified,"experiments/e44_tetra_graded.py;results/integrability/tetra_graded.json;notes/tetra_graded.md","Treat R=0 as the only graded solution away from q=0,+1,-1"
H114,2026-08-12,"A parity-breaking or higher-dimensional interacting auxiliary construction can evade the graded RLLL no-go","The exact determinant certificate uses the 32-coordinate grade-preserving 8x8 subspace and does not control its complement or dimension-changing projections","A nonzero invertible solution exists after dropping grade conservation or enlarging an auxiliary space and yields exact commuting small-layer transfer matrices","Derive the next sharply defined finite ansatz and require an exact nonzero solution before running 2x2 and 2x3 commutator checks","No evidence was produced in the ungraded or higher-dimensional classes","The present [1] certificates apply only to grade-preserving 8x8 R with three identical L factors",unresolved,"notes/tetra_graded.md;results/integrability/tetra_graded.json","Study the parity-breaking 64-coordinate RLLL kernel first; keep higher dimensions separate"
H095,2026-08-12,"A product-lex Pauli order repairs the ladder leading-monomial injection uniformly","Changing the local alphabet or scan direction could remove the L=4 collision without changing the depth budget","One of the 96 longitudinal direction row direction and local-alphabet orders has at least 2^L leaders for every L=2 through 5","Enumerate every nonzero A/B bracket word through depth 2L and all 96 orders exactly","The order X>Y>Z>I has capacities 6 9 16 through L=2 3 4","At L=5 that order has 26 leaders and the maximum over all 96 is 27 below 32; no scanned order passes all four lengths",falsified,"experiments/e46_ladder_induction.py;results/algebra_growth/ladder_induction.json;proofs/ladder_growth_family.md;tests/test_ladder_induction.py","Any further order search must leave the product-lex class and supply a symbolic all-L pivot proof"
H096,2026-08-12,"A fixed corner Pauli seed and translated single-rung Pauli controls encode every rung subset by nested commutators","Single-string commutators would give independence for free if every selected control remained anticommuting","All 2^L nested commutators are nonzero and have distinct supports for one fixed two-rung seed/control template","Search all 255 nonzero two-rung seeds and 15 translated rung controls at L=2 through 5","At L=2 exactly 960 families are injective and the top-row ZZ edge with XX rung controls gives four outputs","Disjoint controls commute with the seed outside its support; at L=3 through 5 no family is injective and at most four nonzero outputs occur",falsified,"experiments/e46_ladder_induction.py;results/algebra_growth/ladder_induction.json;proofs/ladder_growth_family.md;tests/test_ladder_induction.py","Do not use a bounded-support seed for an all-L single-rung commutator induction"
H097,2026-08-12,"The formal family P_L=(ZI)^L with C_i=XX on rung i proves the ladder algebra lower bound","Its exact local signature is ZI off S and YX on S so the Pauli strings are visibly distinct","P_L and every C_i belong to the two-generator ladder Lie algebra for every L","Check the all-subset signature and then test row-exchange and longitudinal-reflection invariance required of algebra elements","The exact signature gives 2^L nonzero distinct Pauli supports for every tested L=2 through 7","P_L fails row exchange and every off-centre C_i fails reflection so the required individual strings cannot be algebra elements",falsified,"experiments/e46_ladder_induction.py;results/algebra_growth/ladder_induction.json;proofs/ladder_growth_family.md;tests/test_ladder_induction.py","Membership must be proved with invariant multi-string elements rather than inferred from Pauli combinatorics"
H098,2026-08-12,"Single-Pauli elements isolated inside the two-generator ladder algebra can form a noncommuting rung-control family","Nested commutators and linear combinations might isolate local strings even though the generators are sums","Two single-Pauli algebra elements have odd symplectic pairing for some L","Use the exact row-exchange automorphism and enumerate its fixed Pauli basis through L=5","Every single-Pauli algebra element must be row-fixed","A row-fixed Pauli has equal top and bottom labels on each rung so every symplectic contribution occurs twice; all such words commute for every L",falsified,"experiments/e46_ladder_induction.py;results/algebra_growth/ladder_induction.json;proofs/ladder_growth_family.md;tests/test_ladder_induction.py","Seek noncommuting invariant orbit sums; isolated single strings are categorically insufficient"
H099,2026-08-12,"Row-and-reflection orbit sums of depth-one rung controls repair the single-string membership obstruction without destroying subset injectivity","Orbit sums satisfy the necessary ladder symmetries while retaining local support","The vectors w_S differ for all 2^L subsets after replacing C_i by its symmetry orbit sum","Enumerate all corner seed orbits and all 15 rung-control orbits and compare S with its reflected subset","A canonical X-corner seed and IY control gives a nonzero endpoint output","The controls obey C_i=C_(L+1-i) and commute so w_S=w_rho(S); all 180 360 720 and 1440 identities pass at L=2 through 5",falsified,"experiments/e46_ladder_induction.py;results/algebra_growth/ladder_induction.json;proofs/ladder_growth_family.md;tests/test_ladder_induction.py","Any symmetry-compatible induction must use noncommuting or nonlocal multi-string controls and prove cancellation control"
H075,2026-08-12,"Every finite-dimensional semisimple quotient of the complex Onsager algebra is a direct sum of sl2 copies","The kernel of a map to a semisimple quotient is closed because that quotient has zero centre, so the Date--Roan closed-ideal classification applies without classifying arbitrary kernels","The semisimple quotient of every finite-dimensional OA quotient has only A1 simple ideals","Factor a reciprocal closed-ideal polynomial, apply the Chinese-remainder local-factor descriptions, and remove each explicitly solvable radical","Date--Roan Theorem 2, Lemma 1, Theorem 3, and Proposition 4 give the needed full classification; the radical argument is proved locally","None within the stated finite-dimensional complex scope",confirmed,"proofs/onsager_quotient_nogo.md;results/algebra_structure/oa_quotient.json;tests/test_oa_quotient.py;sources/manifest.yaml","Use this Levi corollary rather than irreducible-representation classification in every future OA quotient test"
H076,2026-08-12,"The 2x3 layer algebra is not abstractly a quotient of the Onsager algebra because its characteristic-zero Levi quotient has a non-A1 simple ideal","A non-A1 characteristic-zero factor would contradict the all-quotients Levi corollary even after arbitrary changes of generators","An exact characteristic-zero radical or quotient certificate exhibits a simple ideal not isomorphic to sl2","Complete the independent characteristic-zero Levi computation and feed only its certified outcome into the conditional theorem","Exact C7=sp(14) quotient images occur in sector 000 at two finite-field primes","Finite-field images and modular rank lower bounds do not certify the characteristic-zero Levi type",unresolved,"proofs/onsager_quotient_nogo.md;results/algebra_structure/oa_quotient.json;results/algebra_structure/structure.json","Await the separate CharZeroLevi certificate; do not fire the theorem from modular evidence alone"
H077,2026-08-12,"Two matching modular sp(14) quotient witnesses by themselves prove that the characteristic-zero 2x3 Levi quotient has a non-A1 factor","Two-prime agreement is useful consistency evidence but was previously at risk of being promoted beyond its logical scope","A deterministic exact characteristic-zero simple-factor certificate follows from the two modular images alone","Inspect the field scopes, rank implications, and missing characteristic-zero radical and Killing data in the stored structure artifact","Both primes give exact C7 images of dimension 105 on a 14-dimensional sector","The artifact explicitly certifies only finite-field images; modular nonzero minors give rational lower bounds and no rational equality or Levi lift",falsified,"proofs/onsager_quotient_nogo.md;experiments/e47_oa_quotient_sanity.py;results/algebra_structure/oa_quotient.json;results/algebra_structure/structure.json","Retain the two-prime data only as relevance and consistency evidence"
H078,2026-08-12,"The fixed evaluation points t=+1 or t=-1 can contribute a non-sl2 semisimple factor to a finite-dimensional closed Onsager quotient","Degenerate fixed points are the only local factors not covered by ordinary off-fixed sl2 evaluation","A fixed-point factor has a nonzero Levi quotient","Read and apply the exact fixed-point structure in Date--Roan Section 5","For L=1 the evaluation image is one-dimensional abelian","Proposition 4 proves every fixed-point truncation solvable of dimension L+floor(L/2); the even exponents occurring in closed ideals are solvable non-abelian factors with zero Levi part",falsified,"proofs/onsager_quotient_nogo.md;sources/fulltext/date_roan2000_onsager.pdf;sources/manifest.yaml","Treat fixed-point pieces as radical and off-fixed evaluation orbits as the only A1 Levi sources"
H079,2026-08-12,"The classification of finite-dimensional irreducible Onsager representations directly classifies every finite-dimensional quotient Lie algebra","If valid this would give a short no-go from Davies-style evaluation representations","Every arbitrary quotient kernel is closed and its quotient is a direct sum of evaluation sl2 copies","Compare representation kernels with the algebraic definition of a closed ideal and allow arbitrary solvable radicals","Irreducible kernels are closed by Schur's lemma","An arbitrary quotient can have a radical and a non-closed kernel; only the composite kernel after quotienting by the radical is necessarily closed",falsified,"proofs/onsager_quotient_nogo.md;sources/fulltext/date_roan2000_onsager.pdf","Use the repaired semisimple-quotient proof and keep the Davies shortcut retracted"
H090,2026-08-12,"Rooted connected outer Peierls contours enclosing the origin can be enumerated exactly through area 24 by fixed-polycube BFS","Discrete Loomis--Whitney gives A^3>=216 n^2, so area at most 24 forces at most eight enclosed cells","N(6,8,10,12,14,16,18,20,22,24)=(1,0,6,0,45,12,332,240,2538,3040)","Enumerate every translation class through eight cells, flood-fill the complement, and weight each class by its number of origin placements","The exact BFS produces fixed-polycube level counts 1,3,15,86,534,3481,23502,162913 and the predicted rooted area table","The theorem is finite-scope only; it gives no formula for A>24",confirmed,"experiments/e41_peierls_upper.py;results/bounds/peierls_upper.json;proofs/kc_upper_peierls.md;tests/test_peierls_upper.py","Use the exact table only with a separately proved all-area tail"
H091,2026-08-12,"An exact area-24 contour head plus an elementary rigorous connected-plaquette tail improves the incumbent upper bound K_c<=0.25273100985867","Exact low-area counts remove the largest slack terms in a Peierls union bound","The optimized certified K0 from the head and tail is below 0.25273100985867","Optimize the exact rational majorant and compare its strict inequality threshold with the incumbent","A strict exact certificate does yield K_c<=848449/500000","The certified value 1.696898 is much larger than the incumbent; the tail convergence barrier alone exceeds 1",falsified,"proofs/kc_upper_peierls.md;results/bounds/peierls_upper.json","A competitive Peierls route needs a fundamentally sharper all-area contour bound, not merely a longer finite head"
H092,2026-08-12,"Universal-cover subtree counting gives a fully proved exponential tail sharper than the naive 144^A depth-first-walk bound","The shared-edge plaquette graph has degree 12, while non-root tree vertices have only 11 forward slots","For A>=26, N(A)<=(78/625)*(11^11/10^10)^A and the even-area weighted tail is geometric","Inject deterministic spanning trees into the 12-regular universal cover, apply exact Lagrange coefficients, and majorize one binomial term","The exact formula B_A=12/(A-1)*binom(11A,A-2) and the binomial theorem at 1/10 prove the stated tail","The overcount includes all connected plaquette animals and remains far too loose near the physical critical region",confirmed,"proofs/kc_upper_peierls.md;experiments/e41_peierls_upper.py;results/bounds/peierls_upper.json","Retain as an explicit negative certificate and baseline for any sharper surface-specific encoding"
H093,2026-08-12,"The exact-head plus universal-cover tail majorant is below one half at K=1.696898 but not at K=1.696897","This brackets the best point on the millionth grid delivered by the stated Peierls certificate","Exact outward rational evaluation gives F(1.696898)<1/2<F(1.696897)","Enclose exp(-2K) by alternating Taylor Fractions and substitute monotone rational endpoints","The upper value is below 1/2 by more than 0.00003956119, while the preceding-grid lower value exceeds 1/2 by more than 0.00000881719","Grid minimality is only for multiples of 10^-6 and this fixed majorant, not for all rationals or all Peierls encodings",confirmed,"experiments/e41_peierls_upper.py;results/bounds/peierls_upper.json;tests/test_peierls_upper.py","Do not replace the stronger incumbent upper endpoint with this valid but weak theorem"
H094,2026-08-12,"A direct even-edge plaquette closure search independently reproduces the smallest rooted contour counts","An independent representation can detect translation weights, closure errors, or accidental polycube omissions","The direct search gives N(6)=1, N(8)=0, and N(10)=6","Branch on the first odd-incidence dual edge, deduplicate plaquette sets, recover bounded cells by exterior flood fill, and require the origin inside","The search visits 240439 distinct partial sets and returns exactly 1,0,6 after enclosure filtering","The independent cross-check is capped at area 10 and is not evidence for later coefficients by itself",confirmed,"experiments/e41_peierls_upper.py;tests/test_peierls_upper.py;results/bounds/peierls_upper.json","Keep this direct engine as the small-area regression check"
H070,2026-08-12,The 2x3 open-layer two-generator Lie algebra has rational dimension 263,Two matching modular dimensions suggested equality but supplied only a lower bound,An honest exact-Q Pauli closure and an independent faithful-matrix rank both equal 263,Close full spatial-orbit Pauli sums with Fraction elimination and rank exact symmetry-block word matrices over QQ,Both independent exact computations equal 263,None for the specified finite layer,confirmed,experiments/e45_char0_levi.py;results/algebra_structure/char0_levi.json;tests/test_char0_levi.py,Retain the full-orbit cross-check whenever orbit compression changes
H071,2026-08-12,The solvable radical of the 2x3 open-layer algebra is exactly its one-dimensional centre,Cartan's radical criterion reduces the question to an exact Killing orthogonal complement once the derived algebra is certified semisimple,The derived algebra has dimension 262 and the 263x263 Killing matrix has exact rank 262,Build the derived ideal and Killing matrix with exact rational ranks,The derived rank is 262 and Killing nullity is one; the Levi projections account for all 262 derived dimensions,None for the specified finite layer,confirmed,proofs/char0_structure.md;experiments/e45_char0_levi.py;results/algebra_structure/char0_levi.json,Use this finite algebra as a characteristic-zero control
H072,2026-08-12,The largest characteristic-zero simple factor is C7=sp(14) rather than B7=so(15),Both types have dimension 105 and rank seven so dimension and rank alone are insufficient,A faithful 14-dimensional image preserves a nondegenerate alternating form and saturates sp(14),Solve invariant-form equations over Q and compare the exact image dimension with dim sp(14),The alternating form is unique up to scale with determinant 16384 and the image dimension is 105,B7 has no nontrivial 14-dimensional characteristic-zero representation,confirmed,proofs/char0_structure.md;results/algebra_structure/char0_levi.json;tests/test_char0_levi.py,Keep the representation invariant explicit rather than identifying from dimension alone
